Time,ID,Spreader,Audience,SP,Originalsp,AudienceKnownRumours,rumour target,sentiment,TotalRumours
05/03/2021 02:15:25:683836,33,Austin Betancourt,Scott Burden,1,183,7,Marilyn Ho,29,66
05/03/2021 02:15:27:634526,34,John Crockett,Eugene Sanders,49,260,10,Austin Betancourt,3,68
05/03/2021 02:15:28:461327,35,Austin Betancourt,Claudia Tracy,0,184,6,Claudia Tracy,51,70
05/03/2021 02:15:29:741177,36,Eugene Sanders,Michael Kerr,4,124,8,Keith Hamel,74,72
05/03/2021 02:15:31:389316,37,Austin Betancourt,Marilyn Ho,4,184,7,Claudia Tracy,75,74
05/03/2021 02:15:34:313327,38,Austin Betancourt,Scott Burden,8,188,8,Michael Kerr,69,76
05/03/2021 02:15:37:246703,39,Austin Betancourt,Marilyn Ho,9,196,8,Keith Hamel,22,78
05/03/2021 02:15:40:126117,40,Austin Betancourt,Claudia Tracy,2,205,7,Diana Hayes,4,80
05/03/2021 02:15:42:742785,41,Virgil Hernandez,Keith Hamel,10,28,1,Diana Hayes,75,82
05/03/2021 02:15:42:899522,42,Austin Betancourt,Marilyn Ho,1,207,9,Marilyn Ho,17,84
05/03/2021 02:15:46:120600,43,Virgil Hernandez,Alfonso Flemming,3,38,2,Michael Kerr,67,86
05/03/2021 02:15:49:565392,44,Austin Betancourt,Scott Burden,4,208,9,Meredith Muir,69,88
05/03/2021 02:15:49:880403,45,Virgil Hernandez,Keith Hamel,6,41,2,Anthony Aiton,50,90
05/03/2021 02:15:52:396619,46,Austin Betancourt,Marilyn Ho,12,212,10,Keith Hamel,54,92
05/03/2021 02:15:55:371548,47,Austin Betancourt,Scott Burden,26,224,10,Meredith Muir,32,94
05/03/2021 02:15:58:297764,48,Austin Betancourt,Marilyn Ho,0,250,11,Michael Kerr,57,96
05/03/2021 02:16:01:282512,49,Austin Betancourt,Scott Burden,3,250,11,Anthony Aiton,59,98
05/03/2021 02:16:04:481128,50,Austin Betancourt,Marilyn Ho,5,253,12,Elizabeth Weatherford,98,100
05/03/2021 02:16:07:634088,51,Austin Betancourt,Scott Burden,20,258,12,Anthony Aiton,31,102
05/03/2021 02:17:23:991195,52,Elizabeth Weatherford,Keith Hamel,9,47,3,Virgil Hernandez,83,104
05/03/2021 02:17:23:997205,53,Virgil Hernandez,Alfonso Flemming,4,47,3,Alfonso Flemming,65,106
05/03/2021 02:17:24:003276,54,Austin Betancourt,Marilyn Ho,20,278,13,Scott Burden,26,108
05/03/2021 02:17:24:128678,55,Claudia Tracy,Marilyn Ho,10,44,14,Elizabeth Weatherford,13,110
05/03/2021 02:17:26:733976,56,Austin Betancourt,Scott Burden,11,298,13,Marilyn Ho,61,112
05/03/2021 02:17:29:509623,57,Austin Betancourt,Marilyn Ho,12,309,15,Keith Hamel,39,114
05/03/2021 02:17:32:192744,58,Austin Betancourt,Scott Burden,20,321,14,Alison Holbrook,16,116
05/03/2021 02:17:34:058200,59,Virgil Hernandez,Keith Hamel,6,51,4,Austin Betancourt,40,118
05/03/2021 02:17:34:908090,60,Austin Betancourt,Marilyn Ho,5,341,16,Alison Holbrook,100,120
05/03/2021 02:17:37:031217,61,Claudia Tracy,Austin Betancourt,12,54,32,Elizabeth Weatherford,12,122
05/03/2021 02:17:38:503642,62,Virgil Hernandez,Elizabeth Weatherford,2,57,3,Marilyn Ho,34,124
05/03/2021 02:17:39:040690,63,Austin Betancourt,Claudia Tracy,1,346,10,Alison Holbrook,93,126
05/03/2021 02:17:40:489721,64,Elizabeth Weatherford,Virgil Hernandez,11,56,9,Alfonso Flemming,32,128
